"LBXSCLSI.Code.or.Value","LBXSCLSI.Value.Description","LBXSCLSI.Count","LBXSCLSI.Cumulative","LBXSCLSI.Skip.to.Item"
"83 to 119","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
