"DX2LAFAT.Code.or.Value","DX2LAFAT.Value.Description","DX2LAFAT.Count","DX2LAFAT.Cumulative","DX2LAFAT.Skip.to.Item"
"361.2 to 5545.4","Range of Values",464,464,NA
".","Missing",21,485,NA
