"LBXTT3.Code.or.Value","LBXTT3.Value.Description","LBXTT3.Count","LBXTT3.Cumulative","LBXTT3.Skip.to.Item"
"50 to 288","Range of Values",1969,1969,NA
".","Missing",208,2177,NA
