"AUXOTSPL.Code.or.Value","AUXOTSPL.Value.Description","AUXOTSPL.Count","AUXOTSPL.Cumulative","AUXOTSPL.Skip.to.Item"
"1","Yes (checkbox checked)",1664,1664,NA
"2","No (checkbox unchecked)",250,1914,NA
".","Missing",132,2046,NA
