"TYXP167.Code.or.Value","TYXP167.Value.Description","TYXP167.Count","TYXP167.Cumulative","TYXP167.Skip.to.Item"
"-293 to 2","Range of Values",3521,3521,NA
".","Missing",4948,8469,NA
