"DS2TCHOL.Code.or.Value","DS2TCHOL.Value.Description","DS2TCHOL.Count","DS2TCHOL.Cumulative","DS2TCHOL.Skip.to.Item"
"1 to 135","Range of Values",357,357,NA
".","Missing",9456,9813,NA
