"DR1IM161.Code.or.Value","DR1IM161.Value.Description","DR1IM161.Count","DR1IM161.Cumulative","DR1IM161.Skip.to.Item"
"0 to 9.722","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
