"SMQ666W.Code.or.Value","SMQ666W.Value.Description","SMQ666W.Count","SMQ666W.Cumulative","SMQ666W.Skip.to.Item"
"1","Regulars",0,0,NA
"2","Lights",0,0,NA
"3","Ultralights",0,0,NA
"7","Refused",0,0,NA
"9","Don't know",0,0,NA
".","Missing",7186,7186,NA
