"DRXMCD.Code.or.Value","DRXMCD.Value.Description","DRXMCD.Count","DRXMCD.Cumulative","DRXMCD.Skip.to.Item"
"Modification Code Description","Value was recorded",1549,1549,NA
"","",0,1549,NA
