"URXBPM.Code.or.Value","URXBPM.Value.Description","URXBPM.Count","URXBPM.Cumulative","URXBPM.Skip.to.Item"
"0.85 to 618","Range of Values",2492,2492,NA
".","Missing",113,2605,NA
