"CIQG17D.Code.or.Value","CIQG17D.Value.Description","CIQG17D.Count","CIQG17D.Cumulative","CIQG17D.Skip.to.Item"
"1","Yes",78,78,NA
"2","No",12,90,NA
"7","Refused",0,90,NA
"9","Don't know",1,91,NA
".","Missing",687,778,NA
