"OCQ520.Code.or.Value","OCQ520.Value.Description","OCQ520.Count","OCQ520.Cumulative","OCQ520.Skip.to.Item"
"0 to 60","Range of Values",1801,1801,NA
"7777","Refused",0,1801,NA
"9999","Don't know",7,1808,NA
".","Missing",4738,6546,NA
