"DR2TTHEO.Code.or.Value","DR2TTHEO.Value.Description","DR2TTHEO.Count","DR2TTHEO.Cumulative","DR2TTHEO.Skip.to.Item"
"0 to 877","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
