"DS2MTCH.Code.or.Value","DS2MTCH.Value.Description","DS2MTCH.Count","DS2MTCH.Cumulative","DS2MTCH.Skip.to.Item"
"1","Exact or near exact match",2145,2145,NA
"2","Probable match",302,2447,NA
"3","Generic match",1213,3660,NA
"4","Reasonable match",708,4368,NA
"5","Default match",1446,5814,NA
"6","No match",81,5895,NA
"7","Refused",0,5895,NA
"9","Don't know",8,5903,NA
".","Missing",0,5903,NA
