"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.08 to 127.87","Range of Values",2463,2463,NA
"0.06","Fill Value of Limit of Detection",95,2558,NA
".","Missing",115,2673,NA
