"MCQ260BB.Code.or.Value","MCQ260BB.Value.Description","MCQ260BB.Count","MCQ260BB.Cumulative","MCQ260BB.Skip.to.Item"
"2","Father",73,73,"MCQ250C"
".","Missing",10397,10470,""
