"SSCTMBA.Code.or.Value","SSCTMBA.Value.Description","SSCTMBA.Count","SSCTMBA.Cumulative","SSCTMBA.Skip.to.Item"
"0","Negative",605,605,NA
"1","Positive",312,917,NA
".","Missing",0,917,NA
