"LBDZTELC.Code.or.Value","LBDZTELC.Value.Description","LBDZTELC.Count","LBDZTELC.Cumulative","LBDZTELC.Skip.to.Item"
"0","Result at or above the limit of detection.",446,446,NA
"1","Result below the limit of detection.",196,642,NA
".","Missing",209,851,NA
