"DR1MC.Code.or.Value","DR1MC.Value.Description","DR1MC.Count","DR1MC.Cumulative","DR1MC.Skip.to.Item"
"100000 to 207526","Range of Values",3763,3763,NA
"0","No modification",147228,150991,NA
".","Missing",0,150991,NA
