"DR2TS140.Code.or.Value","DR2TS140.Value.Description","DR2TS140.Count","DR2TS140.Cumulative","DR2TS140.Skip.to.Item"
"0 to 18.762","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
