"RDQ140.Code.or.Value","RDQ140.Value.Description","RDQ140.Count","RDQ140.Cumulative","RDQ140.Skip.to.Item"
"1","Yes",524,524,NA
"2","No",9139,9663,NA
"7","Refused",0,9663,NA
"9","Don't know",3,9666,NA
".","Missing",0,9666,NA
