"RXDUSE.Code.or.Value","RXDUSE.Value.Description","RXDUSE.Count","RXDUSE.Cumulative","RXDUSE.Skip.to.Item"
"1","Yes",14889,14889,""
"2","No",6008,20897,"End of Section"
"7","Refused",3,20900,"End of Section"
"9","Don't know",4,20904,"End of Section"
".","Missing",1,20905,""
