"LBDTRSI.Code.or.Value","LBDTRSI.Value.Description","LBDTRSI.Count","LBDTRSI.Cumulative","LBDTRSI.Skip.to.Item"
"0.226 to 30.935","Range of Values",3680,3680,NA
".","Missing",354,4034,NA
