"MSAEXLEN.Code.or.Value","MSAEXLEN.Value.Description","MSAEXLEN.Count","MSAEXLEN.Cumulative","MSAEXLEN.Skip.to.Item"
"0 to 2884","Range of Values",2156,2156,NA
".","Missing",0,2156,NA
