"WBXA106.Code.or.Value","WBXA106.Value.Description","WBXA106.Count","WBXA106.Cumulative","WBXA106.Skip.to.Item"
"-5.8403 to 0.9988","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
