"WBXF005.Code.or.Value","WBXF005.Value.Description","WBXF005.Count","WBXF005.Cumulative","WBXF005.Skip.to.Item"
"324.2099 to 324.2099","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
