"MCQ160E.Code.or.Value","MCQ160E.Value.Description","MCQ160E.Count","MCQ160E.Cumulative","MCQ160E.Skip.to.Item"
"1","Yes",221,221,"MCQ180E"
"2","No",4643,4864,""
"7","Refused",0,4864,""
"9","Don't know",16,4880,""
".","Missing",4613,9493,""
