"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"1 to 95","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
