"DXXHELI.Code.or.Value","DXXHELI.Value.Description","DXXHELI.Count","DXXHELI.Cumulative","DXXHELI.Skip.to.Item"
"2152.5 to 5601.7","Range of Values",5379,5379,NA
".","Missing",654,6033,NA
