"LBXD01LA.Code.or.Value","LBXD01LA.Value.Description","LBXD01LA.Count","LBXD01LA.Cumulative","LBXD01LA.Skip.to.Item"
"1.1 to 34.7","Range of Values",1915,1915,NA
".","Missing",359,2274,NA
