"DR2TNIAC.Code.or.Value","DR2TNIAC.Value.Description","DR2TNIAC.Count","DR2TNIAC.Cumulative","DR2TNIAC.Skip.to.Item"
"0 to 201.46","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
