"WBXP016.Code.or.Value","WBXP016.Value.Description","WBXP016.Count","WBXP016.Cumulative","WBXP016.Skip.to.Item"
"-179.9524 to 157.3479","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
