"BIXS007K.Code.or.Value","BIXS007K.Value.Description","BIXS007K.Count","BIXS007K.Cumulative","BIXS007K.Skip.to.Item"
"328.36 to 1074.81","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
