"MCQ160C.Code.or.Value","MCQ160C.Value.Description","MCQ160C.Count","MCQ160C.Cumulative","MCQ160C.Skip.to.Item"
"1","Yes",254,254,""
"2","No",5936,6190,"MCQ160D"
"7","Refused",0,6190,"MCQ160D"
"9","Don't know",28,6218,"MCQ160D"
".","Missing",3891,10109,""
