"CKD060.Code.or.Value","CKD060.Value.Description","CKD060.Count","CKD060.Cumulative","CKD060.Skip.to.Item"
"1","Yes",1371,1371,"CKQ070Q"
"2","No",5081,6452,""
"7","Refused",0,6452,""
"9","Don't know",3,6455,""
".","Missing",524,6979,""
