"URXUMASI.Code.or.Value","URXUMASI.Value.Description","URXUMASI.Count","URXUMASI.Cumulative","URXUMASI.Skip.to.Item"
"0.2 to 16920","Range of Values",8374,8374,NA
".","Missing",273,8647,NA
