"CIQP29.Code.or.Value","CIQP29.Value.Description","CIQP29.Count","CIQP29.Cumulative","CIQP29.Skip.to.Item"
"5 to 39","Range of Values",7,7,NA
"77","Refused",0,7,NA
"99","Don't know",1,8,NA
".","Missing",770,778,NA
