"LBXNEPCT.Code.or.Value","LBXNEPCT.Value.Description","LBXNEPCT.Count","LBXNEPCT.Cumulative","LBXNEPCT.Skip.to.Item"
"3.6 to 93.2","Range of Values",8116,8116,NA
".","Missing",1049,9165,NA
