"WBXP033.Code.or.Value","WBXP033.Value.Description","WBXP033.Count","WBXP033.Cumulative","WBXP033.Skip.to.Item"
"-44.7362 to 144.293","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
