"DXXGYFM.Code.or.Value","DXXGYFM.Value.Description","DXXGYFM.Count","DXXGYFM.Cumulative","DXXGYFM.Skip.to.Item"
"446.7 to 15904.5","Range of Values",5094,5094,NA
".","Missing",686,5780,NA
