"DS2TZINC.Code.or.Value","DS2TZINC.Value.Description","DS2TZINC.Count","DS2TZINC.Cumulative","DS2TZINC.Skip.to.Item"
"0 to 100","Range of Values",1828,1828,NA
".","Missing",8425,10253,NA
