"URXMX5.Code.or.Value","URXMX5.Value.Description","URXMX5.Count","URXMX5.Cumulative","URXMX5.Skip.to.Item"
"0.07 to 418","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
