"CIQGPD.Code.or.Value","CIQGPD.Value.Description","CIQGPD.Count","CIQGPD.Cumulative","CIQGPD.Skip.to.Item"
"1","Yes",1,1,"CIQGPN"
"2","No",19,20,""
"7","Refused",0,20,""
"9","Don't know",0,20,""
".","Missing",758,778,""
