"LBXTHG.Code.or.Value","LBXTHG.Value.Description","LBXTHG.Count","LBXTHG.Cumulative","LBXTHG.Skip.to.Item"
"0.2 to 32.8","Range of Values",7356,7356,NA
"0.1","Below First Limit of Detection",372,7728,NA
"0.14","Below Second Limit of Detection",645,8373,NA
".","Missing",806,9179,NA
