"WTSCI19.Code.or.Value","WTSCI19.Value.Description","WTSCI19.Count","WTSCI19.Cumulative","WTSCI19.Skip.to.Item"
"0 to 453363.98937","Range of Values",727,727,NA
".","Missing",51,778,NA
