"LBXVD3MS.Code.or.Value","LBXVD3MS.Value.Description","LBXVD3MS.Count","LBXVD3MS.Cumulative","LBXVD3MS.Skip.to.Item"
"3.02 to 212","Range of Values",6950,6950,NA
".","Missing",2357,9307,NA
