"BAQ120.Code.or.Value","BAQ120.Value.Description","BAQ120.Count","BAQ120.Cumulative","BAQ120.Skip.to.Item"
"1","Yes",7,7,NA
"2","No",901,908,NA
".","Missing",103,1011,NA
