"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"1 to 29200","Range of Values",7879,7879,NA
"7777777","Refused",1,7880,NA
"9999999","Don't know",52,7932,NA
".","Missing",34,7966,NA
