"RHQ460Q.Code.or.Value","RHQ460Q.Value.Description","RHQ460Q.Count","RHQ460Q.Cumulative","RHQ460Q.Skip.to.Item"
"1 to 43","Range of Values",1540,1540,NA
"77","Refused",0,1540,NA
"99","Don't know",8,1548,NA
".","Missing",2016,3564,NA
