"CIQG08.Code.or.Value","CIQG08.Value.Description","CIQG08.Count","CIQG08.Cumulative","CIQG08.Skip.to.Item"
"0 to 8","Range of Values",38,38,NA
"77","Refused",0,38,NA
"99","Don't know",0,38,NA
".","Missing",890,928,NA
