"LBXMC.Code.or.Value","LBXMC.Value.Description","LBXMC.Count","LBXMC.Cumulative","LBXMC.Skip.to.Item"
"25.1 to 38.5","Range of Values",7953,7953,NA
".","Missing",1003,8956,NA
