"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"245 to 307","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
