"DR2TP204.Code.or.Value","DR2TP204.Value.Description","DR2TP204.Count","DR2TP204.Cumulative","DR2TP204.Skip.to.Item"
"0 to 1.239","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
