"LBXGLT.Code.or.Value","LBXGLT.Value.Description","LBXGLT.Count","LBXGLT.Cumulative","LBXGLT.Skip.to.Item"
"23 to 468","Range of Values",2233,2233,NA
".","Missing",1082,3315,NA
