"DSQTFDFE.Code.or.Value","DSQTFDFE.Value.Description","DSQTFDFE.Count","DSQTFDFE.Cumulative","DSQTFDFE.Skip.to.Item"
"0.7 to 9403.3","Range of Values",2676,2676,NA
".","Missing",7861,10537,NA
