"DXXLLBMD.Code.or.Value","DXXLLBMD.Value.Description","DXXLLBMD.Count","DXXLLBMD.Cumulative","DXXLLBMD.Skip.to.Item"
"0.47 to 1.812","Range of Values",5299,5299,NA
".","Missing",734,6033,NA
