"DR1TSFAT.Code.or.Value","DR1TSFAT.Value.Description","DR1TSFAT.Count","DR1TSFAT.Cumulative","DR1TSFAT.Skip.to.Item"
"0 to 238.127","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
