"URXMEP.Code.or.Value","URXMEP.Value.Description","URXMEP.Count","URXMEP.Cumulative","URXMEP.Skip.to.Item"
"0.92 to 31660","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
