"WBXP067.Code.or.Value","WBXP067.Value.Description","WBXP067.Count","WBXP067.Cumulative","WBXP067.Skip.to.Item"
"-108.1853 to 151.3926","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
