"WBXP049.Code.or.Value","WBXP049.Value.Description","WBXP049.Count","WBXP049.Cumulative","WBXP049.Skip.to.Item"
"-114.6385 to 167.5315","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
