"DR2TP183.Code.or.Value","DR2TP183.Value.Description","DR2TP183.Count","DR2TP183.Cumulative","DR2TP183.Skip.to.Item"
"0 to 22.812","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
