"MSXGRAV.Code.or.Value","MSXGRAV.Value.Description","MSXGRAV.Count","MSXGRAV.Cumulative","MSXGRAV.Skip.to.Item"
"1 to 34","Range of Values",1537,1537,NA
".","Missing",756,2293,NA
