"DUQ260.Code.or.Value","DUQ260.Value.Description","DUQ260.Count","DUQ260.Cumulative","DUQ260.Skip.to.Item"
"12 to 53","Range of Values",521,521,NA
"777","Refused",0,521,NA
"999","Don't know",0,521,NA
".","Missing",4275,4796,NA
