"BMXARML.Code.or.Value","BMXARML.Value.Description","BMXARML.Count","BMXARML.Cumulative","BMXARML.Skip.to.Item"
"9.2 to 47","Range of Values",9708,9708,NA
".","Missing",545,10253,NA
